                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.7726,                 0.5631,                 1.1131,                0.97612,                0.95779,                 0.9879,                0.84563,                0.62281,                0.41313,                 1.0095,              0.0011224,              0.0011224,              0.0011224
                     36,                 0.7667,                0.56314,                 1.1126,                0.98218,                0.96133,                0.99081,                0.83543,                0.62826,                  0.455,                 1.0101,              0.0011059,              0.0011059,              0.0011059
                     37,                0.76017,                0.53897,                 1.0993,                0.96348,                0.96951,                0.98924,                0.84488,                0.61308,                 0.4281,                 0.9956,              0.0010894,              0.0010894,              0.0010894
                     38,                0.74258,                0.53755,                 1.0818,                0.97951,                0.97598,                0.99325,                0.84122,                0.60268,                0.38047,                0.98302,              0.0010729,              0.0010729,              0.0010729
                     39,                 0.7427,                0.53665,                 1.1019,                0.98949,                0.96233,                0.99275,                0.85323,                 0.6164,                 0.3752,                 1.0028,              0.0010564,              0.0010564,              0.0010564
                     40,                0.75656,                0.53104,                 1.0919,                0.98089,                0.96201,                0.98883,                0.84316,                0.61928,                0.39894,                 0.9992,              0.0010399,              0.0010399,              0.0010399
                     41,                 0.7315,                0.52581,                   1.09,                0.97993,                 0.9705,                0.99252,                0.84316,                0.60883,                0.41794,                0.98682,              0.0010234,              0.0010234,              0.0010234
                     42,                0.73528,                0.50368,                 1.0841,                0.98551,                0.96173,                0.99255,                0.84804,                0.58596,                0.40061,                0.98203,              0.0010069,              0.0010069,              0.0010069
                     43,                0.73296,                0.52752,                 1.0951,                0.99257,                0.96785,                0.99332,                0.85532,                0.58651,                0.36201,                0.97222,             0.00099036,             0.00099036,             0.00099036
                     44,                0.72507,                0.51442,                  1.083,                 0.9749,                0.97078,                0.98978,                0.85223,                0.59937,                0.40224,                0.98726,             0.00097386,             0.00097386,             0.00097386
                     45,                0.71734,                0.51298,                 1.0826,                0.97887,                0.96732,                0.98739,                0.84187,                0.62155,                0.41802,                 1.0189,             0.00095736,             0.00095736,             0.00095736
                     46,                0.72378,                0.50286,                 1.0913,                0.97867,                0.97912,                0.99123,                0.84318,                0.61829,                0.40647,                 1.0154,             0.00094085,             0.00094085,             0.00094085
                     47,                0.72019,                0.50203,                 1.0968,                0.98294,                0.97716,                0.99352,                0.85995,                0.59874,                0.34486,                0.97341,             0.00092435,             0.00092435,             0.00092435
                     48,                 0.7307,                0.51118,                 1.0854,                0.97922,                0.97456,                0.99215,                0.85455,                0.58518,                0.33396,                 0.9718,             0.00090785,             0.00090785,             0.00090785
                     49,                0.70432,                 0.4866,                 1.0746,                0.98296,                0.97488,                0.99323,                0.85072,                    0.6,                0.34776,                 0.9937,             0.00089134,             0.00089134,             0.00089134
                     50,                 0.7028,                 0.4942,                 1.0744,                0.99018,                0.96569,                 0.9916,                0.85664,                0.58937,                 0.3659,                0.97414,             0.00087484,             0.00087484,             0.00087484
