                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.76471,                0.56221,                 1.1403,                0.86026,                0.78223,                0.90163,                0.74976,                0.70082,                0.79703,                 1.1235,              0.0011224,              0.0011224,              0.0011224
                     36,                0.75212,                0.54198,                 1.1357,                 0.9746,                0.95334,                0.98679,                0.83242,                0.66845,                0.41524,                 1.0913,              0.0011059,              0.0011059,              0.0011059
                     37,                 0.7467,                0.54921,                 1.1299,                 0.9703,                0.95323,                0.98476,                0.83151,                0.66823,                0.41017,                 1.0884,              0.0010894,              0.0010894,              0.0010894
                     38,                0.74695,                0.55058,                 1.1157,                0.95955,                0.89892,                0.96114,                 0.8091,                0.69424,                0.48681,                 1.1149,              0.0010729,              0.0010729,              0.0010729
                     39,                0.75375,                0.53658,                 1.1269,                0.95637,                0.95673,                0.98654,                0.84156,                0.65293,                0.38221,                 1.0732,              0.0010564,              0.0010564,              0.0010564
                     40,                0.75016,                0.52211,                 1.1412,                0.97485,                0.94977,                0.98955,                0.83912,                0.64413,                0.39262,                 1.0575,              0.0010399,              0.0010399,              0.0010399
                     41,                0.71378,                0.50009,                 1.1107,                0.98035,                0.96631,                0.99273,                0.84436,                0.64631,                0.35884,                 1.0597,              0.0010234,              0.0010234,              0.0010234
                     42,                0.72463,                0.51004,                 1.1143,                0.96443,                0.96849,                 0.9918,                0.84924,                 0.6424,                0.36785,                 1.0717,              0.0010069,              0.0010069,              0.0010069
                     43,                0.74272,                0.52042,                 1.1337,                0.97039,                0.92177,                0.97484,                0.82478,                0.65555,                0.43403,                 1.0707,             0.00099036,             0.00099036,             0.00099036
                     44,                0.73493,                 0.5171,                   1.12,                0.96295,                0.95933,                0.98944,                 0.8366,                0.66232,                0.39049,                 1.0917,             0.00097386,             0.00097386,             0.00097386
                     45,                0.72078,                0.50489,                 1.1173,                0.98465,                0.95538,                0.99049,                0.85667,                0.61051,                0.34953,                 1.0353,             0.00095736,             0.00095736,             0.00095736
                     46,                0.70914,                0.48966,                 1.1035,                0.98807,                0.96518,                0.99137,                0.85256,                0.62203,                0.35352,                 1.0475,             0.00094085,             0.00094085,             0.00094085
                     47,                0.73281,                0.50511,                 1.1173,                0.97081,                 0.9544,                 0.9838,                0.84773,                0.63028,                0.37108,                 1.0502,             0.00092435,             0.00092435,             0.00092435
                     48,                0.71284,                0.49884,                 1.1063,                0.94878,                0.94156,                0.97704,                0.84024,                0.63968,                0.44548,                  1.071,             0.00090785,             0.00090785,             0.00090785
                     49,                0.71615,                 0.4846,                 1.1119,                0.96499,                0.96557,                0.98847,                0.85415,                0.62578,                0.36638,                 1.0469,             0.00089134,             0.00089134,             0.00089134
