                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.58436,                0.98748,                 1.1307,                0.77887,                 0.6364,                0.71285,                0.60283,                0.63176,                 1.0468,                 1.1449,               0.007756,               0.007756,               0.007756
                     37,                0.58002,                0.96616,                  1.124,                0.77026,                0.65256,                0.71435,                0.60401,                  0.631,                 1.0512,                 1.1463,                0.00769,                0.00769,                0.00769
                     38,                0.57683,                  0.951,                 1.1219,                0.76393,                0.63944,                0.71579,                0.60752,                0.62576,                 1.0352,                   1.14,               0.007624,               0.007624,               0.007624
                     39,                0.57225,                0.94074,                 1.1196,                0.80703,                0.62694,                0.71675,                0.60845,                0.61837,                 1.0371,                 1.1341,               0.007558,               0.007558,               0.007558
                     40,                0.56854,                0.94182,                 1.1173,                0.77645,                0.64338,                0.71477,                0.60612,                0.62233,                 1.0313,                 1.1403,               0.007492,               0.007492,               0.007492
                     41,                0.56832,                0.92597,                 1.1158,                0.79094,                0.64244,                0.72239,                 0.6132,                0.62281,                 1.0155,                 1.1416,               0.007426,               0.007426,               0.007426
                     42,                0.56315,                0.91783,                 1.1131,                0.76509,                0.66688,                0.72819,                 0.6188,                0.61676,                 1.0006,                 1.1358,                0.00736,                0.00736,                0.00736
                     43,                0.56272,                0.91918,                 1.1102,                0.77342,                0.66494,                0.73061,                0.62214,                0.61103,                0.99886,                 1.1273,               0.007294,               0.007294,               0.007294
                     44,                 0.5563,                0.89126,                 1.1062,                0.77767,                0.66075,                0.73108,                0.62308,                0.60791,                 1.0023,                 1.1278,               0.007228,               0.007228,               0.007228
                     45,                0.55286,                0.88285,                 1.1047,                0.82301,                0.63469,                0.73144,                0.62528,                0.60257,                0.99696,                 1.1214,               0.007162,               0.007162,               0.007162
                     46,                0.55325,                 0.8807,                 1.1045,                0.77265,                 0.6608,                0.72817,                0.62284,                 0.6015,                0.99898,                 1.1218,               0.007096,               0.007096,               0.007096
                     47,                0.54753,                0.86065,                  1.101,                 0.7641,                0.66464,                0.72935,                0.62438,                0.60309,                0.99586,                 1.1245,                0.00703,                0.00703,                0.00703
                     48,                0.54779,                0.85669,                 1.0983,                0.76816,                0.67014,                0.72936,                0.62395,                0.60651,                0.98893,                 1.1258,               0.006964,               0.006964,               0.006964
                     49,                0.54543,                0.84843,                 1.0989,                0.76812,                0.66964,                0.72928,                 0.6252,                0.60195,                0.99051,                 1.1185,               0.006898,               0.006898,               0.006898
                     50,                0.54826,                0.84007,                 1.1012,                0.77087,                0.66736,                0.73318,                0.62781,                0.59962,                0.98393,                 1.1179,               0.006832,               0.006832,               0.006832
                     51,                0.54293,                0.83817,                 1.0962,                0.75367,                0.67982,                0.73407,                0.62985,                 0.5978,                0.98243,                 1.1174,               0.006766,               0.006766,               0.006766
                     52,                0.54208,                0.82381,                 1.0944,                0.74952,                0.68263,                0.73321,                0.62808,                0.60145,                  0.987,                 1.1221,                 0.0067,                 0.0067,                 0.0067
                     53,                0.53902,                0.82068,                 1.0895,                 0.7706,                0.67264,                0.73482,                0.63075,                0.59933,                0.98239,                 1.1205,               0.006634,               0.006634,               0.006634
                     54,                0.53529,                0.81421,                 1.0878,                0.78077,                0.66761,                0.73641,                0.63273,                0.59839,                0.98106,                 1.1194,               0.006568,               0.006568,               0.006568
                     55,                0.53617,                0.80266,                 1.0932,                0.77842,                0.66986,                0.73568,                0.63263,                0.59835,                0.97919,                 1.1198,               0.006502,               0.006502,               0.006502
                     56,                0.52217,                0.78571,                 1.0827,                 0.7652,                0.68633,                0.73811,                0.63377,                0.59543,                0.97404,                 1.1177,               0.006436,               0.006436,               0.006436
                     57,                0.52259,                0.78519,                  1.083,                0.75107,                0.69583,                0.73919,                0.63495,                0.59565,                0.97153,                 1.1186,                0.00637,                0.00637,                0.00637
                     58,                 0.5234,                0.77602,                 1.0797,                0.76423,                0.68582,                0.73922,                0.63579,                0.59274,                0.96695,                 1.1168,               0.006304,               0.006304,               0.006304
                     59,                0.52094,                0.77485,                 1.0776,                0.76728,                0.68893,                0.74153,                0.63764,                0.59263,                0.96571,                 1.1164,               0.006238,               0.006238,               0.006238
                     60,                0.51972,                0.77173,                 1.0823,                0.76372,                0.68935,                0.74173,                0.63905,                0.59258,                0.96274,                 1.1166,               0.006172,               0.006172,               0.006172
                     61,                 0.5218,                0.76221,                   1.08,                0.77568,                0.68241,                0.74154,                0.63896,                0.59185,                0.96163,                 1.1156,               0.006106,               0.006106,               0.006106
                     62,                0.51508,                0.74573,                 1.0766,                0.78755,                0.67618,                0.74289,                0.63943,                0.59108,                0.96067,                 1.1153,                0.00604,                0.00604,                0.00604
                     63,                0.52299,                0.74686,                 1.0784,                0.77368,                0.69035,                0.74395,                0.63921,                0.58814,                0.95891,                 1.1128,               0.005974,               0.005974,               0.005974
                     64,                0.51123,                0.73847,                 1.0724,                 0.7711,                0.68835,                0.74482,                0.64036,                0.58811,                0.95973,                 1.1138,               0.005908,               0.005908,               0.005908
                     65,                0.50562,                0.72609,                 1.0679,                0.80418,                0.66861,                0.74419,                0.64043,                0.58616,                0.95985,                 1.1116,               0.005842,               0.005842,               0.005842
                     66,                 0.5124,                0.72924,                 1.0731,                0.80329,                0.67061,                0.74373,                0.64115,                0.58634,                0.96075,                 1.1119,               0.005776,               0.005776,               0.005776
                     67,                0.50807,                 0.7225,                 1.0712,                0.79917,                0.67495,                0.74391,                0.64085,                0.58552,                0.96048,                 1.1114,                0.00571,                0.00571,                0.00571
                     68,                 0.5061,                0.71492,                 1.0694,                0.78409,                 0.6842,                0.74447,                0.64146,                  0.584,                0.95837,                 1.1096,               0.005644,               0.005644,               0.005644
                     69,                0.50439,                0.71112,                 1.0678,                0.77375,                0.69259,                 0.7443,                0.64147,                0.58293,                0.95627,                 1.1081,               0.005578,               0.005578,               0.005578
                     70,                0.49672,                0.69908,                 1.0599,                0.79094,                0.68383,                 0.7444,                0.64234,                0.58197,                0.95609,                 1.1082,               0.005512,               0.005512,               0.005512
                     71,                    0.5,                0.70231,                 1.0614,                0.79166,                 0.6849,                0.74428,                0.64235,                0.58118,                0.95754,                  1.108,               0.005446,               0.005446,               0.005446
                     72,                0.49292,                0.69776,                 1.0604,                0.79216,                0.68325,                0.74353,                 0.6418,                0.58147,                0.95947,                 1.1085,                0.00538,                0.00538,                0.00538
                     73,                 0.4944,                0.68324,                 1.0605,                0.79514,                0.68182,                0.74351,                0.64205,                0.58101,                0.95952,                 1.1088,               0.005314,               0.005314,               0.005314
                     74,                0.48939,                0.67699,                 1.0595,                0.79691,                0.68239,                0.74357,                0.64185,                0.57946,                0.95936,                 1.1072,               0.005248,               0.005248,               0.005248
                     75,                0.49129,                0.68004,                 1.0627,                0.79858,                0.68199,                0.74358,                0.64184,                0.57981,                 0.9577,                 1.1085,               0.005182,               0.005182,               0.005182
                     76,                0.48756,                0.67292,                 1.0555,                0.79897,                0.68068,                0.74357,                0.64189,                0.57883,                 0.9566,                 1.1072,               0.005116,               0.005116,               0.005116
                     77,                0.48774,                0.66091,                 1.0553,                0.79899,                0.67883,                0.74408,                0.64279,                0.57827,                0.95569,                 1.1071,                0.00505,                0.00505,                0.00505
                     78,                0.47781,                0.65576,                 1.0503,                0.79958,                0.67934,                0.74446,                0.64327,                 0.5781,                0.95451,                 1.1069,               0.004984,               0.004984,               0.004984
                     79,                0.48235,                 0.6535,                 1.0494,                0.78926,                0.68658,                0.74466,                0.64357,                0.57756,                0.95604,                 1.1063,               0.004918,               0.004918,               0.004918
                     80,                0.48034,                0.64808,                 1.0505,                0.79014,                0.68569,                0.74474,                0.64386,                0.57786,                0.95565,                 1.1069,               0.004852,               0.004852,               0.004852
                     81,                0.47769,                0.64383,                 1.0483,                0.78478,                0.69026,                0.74482,                0.64413,                0.57792,                0.95692,                  1.107,               0.004786,               0.004786,               0.004786
                     82,                0.47749,                0.63872,                 1.0459,                0.78344,                0.68959,                0.74518,                0.64495,                0.57759,                0.95733,                 1.1065,                0.00472,                0.00472,                0.00472
                     83,                 0.4768,                0.63332,                 1.0477,                0.78803,                0.68561,                0.74544,                0.64542,                0.57684,                 0.9566,                 1.1055,               0.004654,               0.004654,               0.004654
                     84,                0.46563,                0.62871,                 1.0432,                0.78536,                0.68917,                0.74562,                0.64524,                0.57673,                0.95592,                 1.1054,               0.004588,               0.004588,               0.004588
                     85,                0.47464,                0.62889,                 1.0465,                 0.7779,                0.69696,                0.74612,                0.64531,                0.57682,                0.95606,                  1.106,               0.004522,               0.004522,               0.004522
                     86,                0.47059,                0.61659,                 1.0422,                0.78524,                 0.6906,                0.74602,                0.64534,                0.57688,                0.95645,                 1.1064,               0.004456,               0.004456,               0.004456
                     87,                0.47024,                0.61541,                 1.0439,                0.78617,                0.69165,                 0.7463,                0.64542,                 0.5767,                0.95684,                 1.1064,                0.00439,                0.00439,                0.00439
                     88,                0.46386,                0.60942,                 1.0402,                0.78346,                0.69335,                0.74662,                0.64538,                0.57635,                0.95697,                 1.1062,               0.004324,               0.004324,               0.004324
                     89,                0.46926,                0.60626,                 1.0399,                0.78858,                0.69138,                 0.7467,                0.64549,                0.57557,                0.95725,                 1.1056,               0.004258,               0.004258,               0.004258
                     90,                0.45998,                0.59083,                 1.0351,                0.78335,                0.69305,                0.74637,                0.64542,                0.57537,                0.95836,                 1.1056,               0.004192,               0.004192,               0.004192
                     91,                0.46398,                0.60006,                  1.042,                0.78684,                0.69161,                0.74584,                0.64533,                0.57497,                0.95869,                 1.1054,               0.004126,               0.004126,               0.004126
                     92,                0.46035,                0.59588,                 1.0364,                0.78468,                0.69402,                0.74602,                0.64582,                0.57446,                 0.9595,                 1.1049,                0.00406,                0.00406,                0.00406
                     93,                0.45797,                0.58872,                 1.0361,                0.78408,                0.69391,                0.74587,                0.64595,                0.57475,                0.95986,                 1.1057,               0.003994,               0.003994,               0.003994
                     94,                0.45681,                0.58257,                 1.0333,                0.79013,                 0.6897,                0.74578,                0.64624,                0.57404,                0.96037,                 1.1047,               0.003928,               0.003928,               0.003928
                     95,                0.45433,                0.58153,                 1.0335,                0.79112,                 0.6882,                0.74561,                0.64589,                0.57394,                0.95984,                 1.1046,               0.003862,               0.003862,               0.003862
                     96,                0.45232,                0.57134,                 1.0328,                0.79092,                0.68778,                0.74586,                0.64626,                0.57366,                0.95902,                 1.1045,               0.003796,               0.003796,               0.003796
                     97,                0.45347,                0.57559,                 1.0308,                0.79089,                0.68768,                0.74549,                 0.6462,                0.57369,                0.95789,                  1.105,                0.00373,                0.00373,                0.00373
                     98,                0.44857,                0.56508,                  1.028,                0.79411,                0.68725,                0.74542,                0.64639,                 0.5738,                0.95851,                 1.1052,               0.003664,               0.003664,               0.003664
                     99,                0.44789,                0.55833,                 1.0261,                0.79965,                0.68292,                0.74558,                0.64644,                0.57365,                0.95857,                 1.1051,               0.003598,               0.003598,               0.003598
                    100,                0.44434,                 0.5626,                 1.0266,                0.80267,                0.68119,                0.74581,                0.64676,                0.57365,                0.95854,                 1.1055,               0.003532,               0.003532,               0.003532
                    101,                0.44175,                0.54586,                 1.0243,                0.80628,                0.67987,                0.74604,                0.64706,                0.57312,                0.95826,                 1.1047,               0.003466,               0.003466,               0.003466
                    102,                0.44272,                 0.5471,                 1.0231,                0.80567,                0.68161,                0.74622,                0.64763,                0.57286,                0.95858,                 1.1045,                 0.0034,                 0.0034,                 0.0034
                    103,                0.43806,                 0.5352,                 1.0194,                0.80357,                0.68281,                0.74578,                0.64706,                0.57316,                0.95929,                 1.1049,               0.003334,               0.003334,               0.003334
                    104,                0.43865,                0.54333,                 1.0221,                0.80348,                0.68345,                0.74581,                0.64701,                0.57338,                0.95922,                 1.1051,               0.003268,               0.003268,               0.003268
                    105,                0.43318,                0.53477,                 1.0205,                0.80423,                0.68293,                0.74542,                0.64716,                0.57319,                0.95848,                  1.105,               0.003202,               0.003202,               0.003202
                    106,                0.43553,                0.53389,                 1.0198,                0.80184,                0.68274,                0.74521,                0.64683,                0.57299,                0.95855,                 1.1049,               0.003136,               0.003136,               0.003136
                    107,                0.43425,                0.52756,                  1.021,                 0.8073,                0.67966,                0.74527,                0.64698,                0.57333,                0.95926,                 1.1054,                0.00307,                0.00307,                0.00307
                    108,                0.42616,                0.51685,                 1.0134,                0.81136,                0.67734,                0.74577,                0.64764,                0.57365,                 0.9594,                 1.1058,               0.003004,               0.003004,               0.003004
                    109,                0.43181,                0.52535,                 1.0162,                0.80892,                0.67869,                0.74607,                0.64774,                0.57372,                 0.9601,                 1.1059,               0.002938,               0.002938,               0.002938
                    110,                0.42572,                0.51953,                 1.0158,                0.81754,                0.67349,                0.74621,                0.64785,                0.57399,                0.96103,                 1.1062,               0.002872,               0.002872,               0.002872
                    111,                0.42394,                0.50861,                   1.01,                0.80796,                0.67788,                0.74592,                0.64776,                0.57431,                0.96071,                 1.1067,               0.002806,               0.002806,               0.002806
                    112,                0.41935,                0.50186,                  1.009,                0.81483,                0.67564,                0.74603,                0.64743,                0.57529,                 0.9611,                 1.1081,                0.00274,                0.00274,                0.00274
                    113,                0.42438,                0.50873,                 1.0114,                0.80672,                0.68063,                0.74583,                0.64748,                  0.575,                0.96066,                 1.1079,               0.002674,               0.002674,               0.002674
                    114,                0.42155,                 0.4956,                 1.0082,                0.79931,                0.68578,                0.74604,                0.64773,                0.57495,                0.96007,                 1.1081,               0.002608,               0.002608,               0.002608
                    115,                0.41899,                0.49424,                 1.0073,                0.79485,                0.69016,                 0.7459,                0.64769,                0.57519,                0.96024,                 1.1085,               0.002542,               0.002542,               0.002542
                    116,                0.41539,                0.49132,                 1.0074,                0.79829,                0.68858,                0.74599,                0.64737,                 0.5751,                0.96072,                 1.1086,               0.002476,               0.002476,               0.002476
