                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.91811,                0.80832,                 1.5202,                0.94212,                 0.9186,                0.96867,                0.80074,                0.71652,                0.74865,                 1.3273,              0.0011224,              0.0011224,              0.0011224
                     36,                0.90558,                0.77975,                  1.506,                0.94532,                0.92155,                 0.9767,                0.79229,                0.75806,                0.95541,                 1.3736,              0.0011059,              0.0011059,              0.0011059
                     37,                0.90186,                0.77665,                 1.5053,                0.96069,                0.92862,                0.97587,                0.80526,                 0.7214,                0.75414,                 1.3444,              0.0010894,              0.0010894,              0.0010894
                     38,                0.89019,                0.75904,                 1.4871,                 0.9285,                0.94933,                0.98215,                0.80606,                0.72871,                0.63707,                 1.3551,              0.0010729,              0.0010729,              0.0010729
                     39,                 0.8787,                0.77172,                  1.486,                0.95834,                0.91346,                0.97077,                0.79725,                0.71097,                0.65229,                 1.3148,              0.0010564,              0.0010564,              0.0010564
                     40,                 0.8948,                 0.7612,                 1.4778,                0.96186,                 0.9242,                0.98142,                0.81566,                0.70341,                0.64473,                 1.3137,              0.0010399,              0.0010399,              0.0010399
                     41,                0.87774,                0.76713,                  1.473,                0.88985,                0.87697,                0.94605,                 0.7791,                0.71035,                0.99416,                 1.3254,              0.0010234,              0.0010234,              0.0010234
                     42,                0.86929,                0.74605,                 1.4657,                0.97273,                0.90841,                0.98357,                0.80465,                   0.73,                0.64777,                 1.3354,              0.0010069,              0.0010069,              0.0010069
                     43,                0.86553,                 0.7478,                 1.4717,                0.96839,                0.93266,                0.98173,                0.81638,                0.69368,                  0.546,                 1.2949,             0.00099036,             0.00099036,             0.00099036
                     44,                0.84391,                0.71406,                 1.4507,                0.95239,                0.95138,                0.98334,                0.81955,                0.68695,                0.60636,                 1.2951,             0.00097386,             0.00097386,             0.00097386
                     45,                0.83874,                0.71265,                 1.4449,                  0.941,                0.94515,                0.97853,                0.82204,                0.65291,                0.60251,                 1.2796,             0.00095736,             0.00095736,             0.00095736
                     46,                0.85495,                0.72333,                 1.4581,                0.96932,                0.95012,                0.98546,                0.81773,                0.66751,                  0.721,                 1.2719,             0.00094085,             0.00094085,             0.00094085
                     47,                0.84639,                0.72634,                 1.4494,                0.95406,                0.94982,                0.98383,                0.81742,                0.67731,                0.51882,                 1.2877,             0.00092435,             0.00092435,             0.00092435
                     48,                0.87004,                0.72483,                 1.4672,                0.97147,                0.93167,                0.98646,                0.82879,                0.66138,                0.51092,                 1.2643,             0.00090785,             0.00090785,             0.00090785
                     49,                0.83288,                0.69069,                 1.4366,                0.98439,                0.94507,                0.98557,                0.82889,                0.65194,                0.57971,                 1.2474,             0.00089134,             0.00089134,             0.00089134
                     50,                 0.8256,                0.70753,                 1.4243,                0.97488,                0.94827,                0.98419,                0.83309,                0.64662,                0.51565,                 1.2343,             0.00087484,             0.00087484,             0.00087484
                     51,                0.82987,                0.67988,                  1.428,                0.98038,                0.90642,                  0.984,                0.82152,                0.68035,                0.57656,                 1.2738,             0.00085834,             0.00085834,             0.00085834
                     52,                0.82336,                0.67652,                 1.4222,                0.96392,                0.92845,                0.98704,                0.82948,                0.64924,                0.56226,                 1.2371,             0.00084184,             0.00084184,             0.00084184
                     53,                0.81997,                0.65858,                 1.4157,                0.97275,                0.94972,                0.98632,                0.82759,                0.64898,                0.55652,                 1.2537,             0.00082533,             0.00082533,             0.00082533
                     54,                0.81948,                0.65886,                 1.4113,                0.97697,                0.95191,                0.98771,                0.83142,                0.65909,                0.53479,                 1.2661,             0.00080883,             0.00080883,             0.00080883
                     55,                0.80504,                 0.6546,                 1.4055,                0.96807,                0.93378,                 0.9827,                0.83829,                0.61312,                0.53726,                 1.2237,             0.00079233,             0.00079233,             0.00079233
                     56,                0.79106,                0.65113,                 1.3846,                0.96362,                0.96908,                0.99135,                0.83701,                0.64428,                0.53772,                 1.2538,             0.00077582,             0.00077582,             0.00077582
                     57,                0.78519,                0.64192,                 1.3896,                0.97924,                0.94863,                0.98707,                0.83847,                0.61054,                0.49574,                 1.2238,             0.00075932,             0.00075932,             0.00075932
                     58,                0.80592,                0.67338,                 1.4038,                0.98132,                0.94712,                0.99033,                0.83807,                 0.6407,                0.54832,                 1.2281,             0.00074282,             0.00074282,             0.00074282
                     59,                0.79451,                0.64818,                 1.3915,                0.97354,                0.92859,                0.98008,                0.83115,                0.64549,                0.50088,                 1.2448,             0.00072631,             0.00072631,             0.00072631
                     60,                0.80658,                0.66005,                 1.4057,                0.97202,                0.96252,                 0.9902,                 0.8394,                0.62995,                0.53304,                 1.2374,             0.00070981,             0.00070981,             0.00070981
                     61,                 0.7842,                0.63512,                 1.3865,                0.97869,                 0.9632,                 0.9906,                0.84154,                0.63167,                0.47521,                 1.2325,             0.00069331,             0.00069331,             0.00069331
                     62,                0.77857,                0.63221,                 1.3786,                0.96242,                0.94962,                0.98448,                0.83757,                0.63424,                0.45923,                 1.2309,              0.0006768,              0.0006768,              0.0006768
                     63,                 0.7896,                0.62841,                 1.3787,                0.97444,                0.95938,                 0.9883,                0.84181,                0.64056,                0.43282,                 1.2315,              0.0006603,              0.0006603,              0.0006603
                     64,                0.77045,                0.61191,                 1.3816,                0.93791,                0.94509,                0.98146,                0.82936,                0.64522,                0.61503,                 1.2424,              0.0006438,              0.0006438,              0.0006438
                     65,                0.77218,                0.61189,                 1.3762,                0.98884,                0.95721,                0.98947,                 0.8484,                0.62932,                0.53169,                 1.2201,             0.00062729,             0.00062729,             0.00062729
                     66,                0.77725,                0.60144,                  1.372,                0.98673,                0.95346,                0.98871,                0.84624,                0.61955,                0.42741,                 1.2251,             0.00061079,             0.00061079,             0.00061079
                     67,                0.76254,                0.60591,                  1.363,                0.98208,                0.95913,                0.99001,                0.85607,                0.61942,                0.45277,                 1.2092,             0.00059429,             0.00059429,             0.00059429
                     68,                0.76127,                0.59297,                 1.3516,                 0.9893,                0.95717,                0.98912,                0.84894,                0.63145,                0.42062,                 1.2174,             0.00057778,             0.00057778,             0.00057778
                     69,                0.76761,                 0.6028,                 1.3693,                0.98654,                0.95603,                0.99096,                0.85238,                0.61366,                0.45263,                  1.209,             0.00056128,             0.00056128,             0.00056128
                     70,                0.75471,                0.58915,                 1.3615,                0.98846,                0.96732,                0.99008,                0.84753,                0.62793,                0.39597,                 1.2231,             0.00054478,             0.00054478,             0.00054478
                     71,                0.75567,                0.59776,                 1.3579,                0.98041,                0.94587,                0.98678,                0.84865,                0.62151,                0.44344,                 1.2159,             0.00052827,             0.00052827,             0.00052827
                     72,                0.73968,                0.56359,                 1.3421,                0.98746,                0.94908,                 0.9904,                0.85016,                0.60472,                0.40113,                 1.2056,             0.00051177,             0.00051177,             0.00051177
